movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
The Jerky Boys,Comedy,R,7555256,14641561
Heavy Weights,Comedy,PG,17671310,34245779
Man of the House,Comedy,PG,40029009,77573459
Roommates,Comedy,PG,12076989,23404369
Tall Tale,Western,PG,8247627,15983331
A Pyromaniac's Love Story,Romantic Comedy,PG,468240,907414
Jefferson in Paris,Drama,PG-13,2461628,4770461
Funny Bones,Comedy,R,529135,1025425
A Goofy Movie,Comedy,G,35336439,68479579
While You Were Sleeping,Romantic Comedy,PG,81057016,157082900
Crimson Tide,Action,R,91387195,177102077
Mad Love,Drama,PG-13,15446532,29934306
Pocahontas,Adventure,G,141579773,274370957
Judge Dredd,Action,R,34687912,67222776
Operation Dumbo Drop,Adventure,PG,24670346,47809421
Dangerous Minds,Drama,R,84919401,164552293
A Kid in King Arthur's Court,Adventure,PG,13406717,25981285
The Tie That Binds,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,Drama,PG,7929000,15365850
The Big Green,Comedy,PG,17736619,34372339
Dead Presidents,Drama,R,24120194,46741467
The Scarlet Letter,Drama,R,10359006,20075033
Feast of July,Drama,R,293274,568342
Powder,Drama,PG-13,30833914,59727216
Toy Story,Adventure,G,191796233,370409631
Father of the Bride Part II,Comedy,PG,76578911,147658438
Nixon,Drama,R,13668249,26302005
Tom and Huck,Adventure,PG,23837227,45911517
Mr. Holland's Opus,Drama,PG,82582604,157508868
White Squall,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,Adventure,G,34327391,65470567
Mr. Wrong,Romantic Comedy,PG-13,12805071,24422334
Before and After,Drama,PG-13,8642118,16482589
Up Close & Personal,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,Adventure,G,32709423,62384706
Two Much,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,Comedy,PG,1029731,1963937
James and the Giant Peach,Adventure,PG,28921264,55159783
Celtic Pride,Comedy,PG-13,9240378,17623615
Last Dance,Drama,R,5857534,11171714
Boys,Drama,PG-13,21930418,41826566
Spy Hard,Comedy,PG-13,26936265,51373912
Eddie,Comedy,PG-13,31369401,59828966
The Rock,Action,R,134069511,255702705
The Hunchback of Notre Dame,Adventure,G,100138851,190988799
Phenomenon,Drama,PG,104636382,199559799
Kazaam,Comedy,PG,18880508,36009655
Jack,Drama,PG-13,58617334,111792852
First Kid,Comedy,PG,26465920,50465108
The Rich Man's Wife,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,Comedy,PG,22936273,43713554
The Associate,Comedy,PG-13,12772657,24333094
Ransom,Action,R,136492681,259807820
The War at Home,,R,34368,65543
101 Dalmatians,Comedy,G,136189294,258728898
The Preacher's Wife,Drama,PG,48102795,91076877
Evita,Musical,PG,50047179,92077628
Metro,Action,R,32017895,58804106
Prefontaine,Drama,PG-13,590817,1085093
Shadow Conspiracy,Thriller/Suspense,R,2154540,3957025
That Darn Cat,Comedy,PG,18301828,33613158
Jungle 2 Jungle,Comedy,PG,59925026,110058379
The Sixth Man,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,Comedy,R,29235353,53693680
Gone Fishin',Comedy,PG,19745922,36265379
Con Air,Action,R,101117573,185712664
Hercules,Adventure,G,99112101,182029412
George Of The Jungle,Comedy,PG,105263257,193326632
Nothing To Lose,Comedy,R,44480039,81692095
Air Bud,Comedy,PG,24646936,45266588
G.I. Jane,Drama,R,48169156,88467531
A Thousand Acres,Drama,R,7928412,14561324
Washington Square,Drama,PG,1775644,3257546
Rocket Man,Comedy,PG,15448043,28371890
Playing God,Thriller/Suspense,R,4166918,7652965
Flubber,Comedy,PG,92993801,170406423
An American Werewolf in Paris,Horror,R,26570463,48546161
Mr. Magoo,Comedy,PG,21437192,39145784
Kundun,Drama,PG-13,5686694,10236836
Deep Rising,Action,R,11203026,20136775
Krippendorf's Tribe,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood …,Comedy,R,45779,82277
Meet the Deedles,Comedy,PG,4356126,7829877
He Got Game,Drama,R,21567853,38766948
The Horse Whisperer,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",Romantic Comedy,PG-13,74339294,133620516
Mulan,Adventure,G,120620254,216807832
Armageddon,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,Comedy,PG-13,19843795,35668055
The Parent Trap,Comedy,PG,66308518,119185667
Firelight,Drama,R,784419,1409943
Simon Birch,Drama,PG,18253415,32809442
Holy Man,Comedy,PG,12069719,21694605
Beloved,Drama,R,22852487,41062682
The Waterboy,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,Comedy,PG,12214338,21941840
A Bug's Life,Adventure,G,162798565,288981698
Enemy of the State,Action,R,111549836,198472008
Rushmore,Black Comedy,R,17105219,28392518
A Civil Action,Drama,PG-13,56709981,94139530
Mighty Joe Young,Adventure,PG,50632037,87906042
My Favorite Martian,Comedy,PG,36850101,61150849
The Other Sister,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,Adventure,G,19421271,32228598
Ten Things I Hate About You,Romantic Comedy,PG-13,38177966,63354375
Endurance,,PG,229128,380218
Instinct,Drama,R,34105207,56595842
Tarzan,Adventure,G,171091819,283900254
Summer of Sam,Drama,R,19288130,32007656
Inspector Gadget,Comedy,PG,97387965,161610341
The Sixth Sense,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,Action,R,32698899,54262148
