Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
2001: A Space Odyssey,U,8.3,84,Stanley Kubrick,603517,"56,954,992"
Per qualche dollaro in più,U,8.3,74,Sergio Leone,232772,"15,000,000"
Lawrence of Arabia,U,8.3,100,David Lean,268085,"44,824,144"
The Apartment,U,8.3,94,Billy Wilder,164363,"18,600,000"
North by Northwest,U,8.3,98,Alfred Hitchcock,299198,"13,275,000"
Vertigo,A,8.3,100,Alfred Hitchcock,364368,"3,200,000"
Singin' in the Rain,G,8.3,99,Stanley Donen,218957,"8,819,028"
Ikiru,,8.3,,Akira Kurosawa,68463,"55,240"
Ladri di biciclette,,8.3,,Vittorio De Sica,146427,"332,930"
Double Indemnity,Passed,8.3,95,Billy Wilder,143525,"5,720,000"
Citizen Kane,UA,8.3,100,Orson Welles,403351,"1,585,634"
M - Eine Stadt sucht einen Mörder,Passed,8.3,,Fritz Lang,143434,"28,877"
Metropolis,,8.3,98,Fritz Lang,159992,"1,236,166"
The Kid,Passed,8.3,,Charles Chaplin,113314,"5,450,000"
Chhichhore,UA,8.2,,Nitesh Tiwari,33893,"898,575"
Uri: The Surgical Strike,UA,8.2,,Aditya Dhar,43444,"4,186,168"
K.G.F: Chapter 1,UA,8.2,,Prashanth Neel,36680,
Green Book,UA,8.2,69,Peter Farrelly,377884,"85,080,171"
"Three Billboards Outside Ebbing, Missouri",A,8.2,88,Martin McDonagh,432610,"54,513,740"
Talvar,UA,8.2,,Meghna Gulzar,31142,"342,370"
Baahubali 2: The Conclusion,UA,8.2,,S.S. Rajamouli,75348,"20,186,659"
Klaus,PG,8.2,65,Sergio Pablos,104761,
Drishyam,UA,8.2,,Nishikant Kamat,70367,"739,478"
Queen,UA,8.2,,Vikas Bahl,60701,"1,429,534"
Mandariinid,,8.2,73,Zaza Urushadze,40382,"144,501"
Bhaag Milkha Bhaag,U,8.2,,Rakeysh Omprakash Mehra,61137,"1,626,289"
Gangs of Wasseypur,A,8.2,89,Anurag Kashyap,82365,
Udaan,UA,8.2,,Vikramaditya Motwane,42341,"7,461"
Paan Singh Tomar,UA,8.2,,Tigmanshu Dhulia,33237,"39,567"
El secreto de sus ojos,R,8.2,80,Juan José Campanella,193217,"6,391,436"
Warrior,UA,8.2,71,Gavin O'Connor,435950,"13,657,115"
Shutter Island,A,8.2,63,Martin Scorsese,1129894,"128,012,934"
Up,U,8.2,88,Pete Docter,935507,"293,004,164"
The Wolf of Wall Street,A,8.2,75,Martin Scorsese,1187498,"116,900,694"
Chak De! India,U,8.2,68,Shimit Amin,74129,"1,113,541"
There Will Be Blood,A,8.2,93,Paul Thomas Anderson,517359,"40,222,514"
Pan's Labyrinth,UA,8.2,98,Guillermo del Toro,618623,"37,634,615"
Toy Story 3,U,8.2,92,Lee Unkrich,757032,"415,004,880"
V for Vendetta,A,8.2,62,James McTeigue,1032749,"70,511,035"
Rang De Basanti,UA,8.2,,Rakeysh Omprakash Mehra,111937,"2,197,331"
Black,U,8.2,,Sanjay Leela Bhansali,33354,"733,094"
Batman Begins,UA,8.2,70,Christopher Nolan,1308302,"206,852,432"
"Swades: We, the People",U,8.2,,Ashutosh Gowariker,83005,"1,223,240"
Der Untergang,R,8.2,82,Oliver Hirschbiegel,331308,"5,509,040"
Hauru no ugoku shiro,U,8.2,80,Hayao Miyazaki,333915,"4,711,096"
A Beautiful Mind,UA,8.2,72,Ron Howard,848920,"170,742,341"
Hera Pheri,U,8.2,,Priyadarshan,57057,
